,country,description,points,price,province,taster_name,taster_twitter_handle,title,variety,winery
41866,Italy,"Aromas of toasted almond and yellow apple follow over to the lean vivacious palate along with citrus zest. It's simple and refreshing, with crisp acidity and a vigorous perlage.",85,17.0,Veneto,Kerin O’Keefe,@kerinokeefe,Canella NV Brut  (Prosecco),Glera,Canella
41886,Spain,"Pickled aromas are a touch funky and muted on the nose. Green, grassy flavors of lime and bitter melon are just good enough.",85,15.0,Catalonia,Michael Schachner,@wineschach,Vilarnau NV Brut Reserva Sparkling (Cava),Sparkling Blend,Vilarnau
41899,US,"This wine makes a big impression with wild, earthy aromas and dense, fruit-laden flavors. It blends ripe plum, smoke, tart blackberry and rich black cherry notes on a base of firm tannins and fresh acidity. These are rich, complex and carry through to the lingering finish. It's made from 85% Mourvèdre, plus Syrah, Grenache and Counoise.",90,32.0,California,Jim Gordon,@gordone_cellars,Holly's Hill 2013 Patriarche Red (El Dorado),Red Blend,Holly's Hill
41900,US,"Just-cracked, yeasty sourdough bread and dried lemon-skin aromas float off of this bottle-aged sparkler from an esteemed, longtime producer. Her winemaker son named this wine in honor of her birth year. An oxidative warmth gives bready depth to the palate, which shows lots of toast and lemon marmalade flavors.",90,50.0,California,Matt Kettmann,@mattkettmann,Kathryn Kennedy 2004 Twenty-Seven Blanc de Blanc Chardonnay (Santa Cruz Mountains),Chardonnay,Kathryn Kennedy
41901,US,"Complex tannins confound the palate at first, but mellow on the back side, inviting gregarious amounts of leather, black pepper and blackberry, a waft of cigar smoke in the mix, too. Fuller-bodied in style, the wine will benefit from time; cellar through 2020.",90,38.0,California,Virginie Boone,@vboone,Keating 2012 Petite Sirah (Rockpile),Petite Sirah,Keating
41902,Chile,"Plum, cassis, floral hints and spicy, charred aromas open this Syrah-led blend. Hailing from a warm year, this feels jammy, dense and full in body. Peppery, chocolaty blackberry flavors end dark and deep, with a strong aftershock of olive and herbal flavors. Drink through 2019.",90,40.0,Maipo Valley,Michael Schachner,@wineschach,Antiyal 2012 Kuyen Red (Maipo Valley),Red Blend,Antiyal
41903,US,"Cocoa, vanilla and baking spice aromas lead off this wine, along with plum. On the palate rich, textured dark fruit flavors intermingle with barrel spices. The fruit and oak have equal footing.",90,25.0,Washington,Sean P. Sullivan,@wawinereport,Locus 2012 Stonetree Vineyard Syrah (Wahluke Slope),Syrah,Locus
41958,US,"Still quite young, but showing real depth and layering, the McCrone vineyard designate offers pomegranate and raspberry fruit, dusted with baking spices, and finished with a tasty vein of mocha. This is a wine to enjoy in the full bloom of its youth.",92,50.0,Oregon,Paul Gregutt,@paulgwine ,Ken Wright 2008 McCrone Vineyard Pinot Noir,Pinot Noir,Ken Wright
41967,Spain,"Rich, dense and syrupy, but also showing touches of mint and leather on the nose. Quite sticky in the mouth, but with lovely toffee and mocha flavors that set up a finish that runs on and on. Impressive depth of flavor, nice overall balance and a mix of complexity and flat-out richness make this PX a winner.",91,18.0,Andalucia,Michael Schachner,@wineschach,González Byass NV Nectar Dulce Pedro Ximénez (Jerez),Pedro Ximénez,González Byass
41980,France,"An equal blend of Pinot Noir, Chardonnay and Pinot Meunier, this is the producer's nonvintage cuvée, soft and ripe. Balanced and crisp, it has attractive acidity under the light texture and tangy lemon-zest flavor. The bottling is ready to drink.",88,35.0,Champagne,Roger Voss,@vossroger,Vollereaux NV Brut Réserve  (Champagne),Champagne Blend,Vollereaux
41986,Portugal,"This is a deliciously fruity wine with tropical fruit tones, a light mineral texture and fine, crisp acidity. From vines planted at 1500 feet above the river, it is fresh, cool and ready to drink.",88,15.0,Douro,Roger Voss,@vossroger,Companhia das Quintas 2014 Fronteira Branco White (Douro),Portuguese White,Companhia das Quintas
42010,US,"Old-vine Oregon Zinfandel is not common; in fact, this is all of them. From the Pines Vineyard, planted around a century ago, revived in the 1980s, these wines have a power and unique presence that sets them apart from Zin from anywhere else. Ultraripe fruit flavors of strawberry and raspberry jam, alcohol above 15%, amazing density and beautifully managed tannins, with some sweet grain flavors that say “old vines.”",94,39.0,Oregon,Paul Gregutt,@paulgwine ,Sineann 2009 Old Vine Zinfandel (Columbia Valley (OR)),Zinfandel,Sineann
42117,Spain,"Dull, oxidized aromas lead to a foamy, obtuse palate that makes drinking this a rough experience. Mealy white-fruit flavors result from oxidation, while this is bready and mildly green on the finish. Tasted twice with mixed results.",82,16.0,Catalonia,Michael Schachner,@wineschach,Heretat Mastinell NV Brut Real Reserva Sparkling (Cava),Sparkling Blend,Heretat Mastinell
42129,France,The acidity dominates this super-fresh wine. The red currant juice flavor is mixed with candied lemon and a soft texture.,83,80.0,Champagne,Roger Voss,@vossroger,J. de Telmont NV Rosé Brut  (Champagne),Champagne Blend,J. de Telmont
42242,US,"The 19th edition (the edition numbers serve a similar function to a vintage date) of this popular blend uses eight varieties, mostly aromatic, with no oak influence. The result is just a touch off dry (10 g/L residual sugar), low alcohol, and loaded with scents and flavors of flowers and fruits. A whiff of body powder moves into a midpalate nicely focused on peach and citrus flavors.",89,15.0,America,Paul Gregutt,@paulgwine ,Sokol Blosser NV Evolution Lucky No. 9 White (America),White Blend,Sokol Blosser
42244,Spain,"Slightly foxy on the nose, with rubbery aromas of cherry and cassis, this offers a tight, tannic palate with hard, elastic tannins. Flavors of cherry and cassis are pleasant, while the finish is ripe, warming and healthy.",89,18.0,Northern Spain,Michael Schachner,@wineschach,Luberri 2011 Seis  (Rioja),Tempranillo,Luberri
42245,US,"This wine is dry and rather full bodied, starting with fruity aromas like banana and coconut then seguing to more nutty, oaky, complex flavors and a rich texture. It's a serious dinner wine with heft and substance.",89,30.0,California,Jim Gordon,@gordone_cellars,Las Positas 2014 Verdigris White (California),White Blend,Las Positas
42248,Austria,"An earthy hint colors the pear notes which on the palate acquire a fresh, almost floral quality. The earthy tone of yeast and miso provides a counterpoint to the zesty, lime-peel freshness. The finish is clean-cut and very refreshing.",89,17.0,Kremstal,Anne Krebiehl MW,@AnneInVino,Malat 2015 Crazy Creatures Grüner Veltliner (Kremstal),Grüner Veltliner,Malat
42249,US,"Aromas of coffee, barrel spice and dark-blue fruit lead to rich, full-bodied blackberry and spice flavors. It's not for the faint of heart but delivers a lot of enjoyment.",89,42.0,Washington,Sean P. Sullivan,@wawinereport,Milbrandt 2013 The Estates Clifton Hill Vineyard Syrah (Wahluke Slope),Syrah,Milbrandt
42250,US,"Yellow pear, fresh-squeezed lime, light mint and wet-cement aromas show on the brisk nose of this bottling by veteran Adam Tolmach. A grippy texture and lively acidity frame the palate, where green apple and lime flavors show. It's clean, pure and easy.",89,30.0,California,Matt Kettmann,@mattkettmann,Ojai 2014 McGinley Vineyard Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,Ojai
42251,US,"This Tempranillo-based pinkie is quite inviting and tightly textured, with aromas of orange shave ice, strawberry cream, watermelon and cement. It is extremely zesty and lively once sipped, offering easy-to-drink raspberry and melon notes. It's great for all sorts of food, from spicy to rich.",89,24.0,California,Matt Kettmann,@mattkettmann,ONX 2015 Indie Tempranillo (Templeton Gap District),Tempranillo,ONX
42252,US,"The aromas of whole lime, flowers, jasmine and watermelon Jolly Rancher pop. It drinks off dry, with floral flavors that carry through the finish.",89,16.0,Washington,Sean P. Sullivan,@wawinereport,Pomum 2014 Upland Vineyard Riesling (Snipes Mountain),Riesling,Pomum
42253,US,"Smoky aromas and a bold apricot flavor give this dry and seemingly light-bodied wine a distinct personality. Fermented in small concrete egg-shaped vats, it's far from simple and fruity, and instead offers great acidity and a tangy, tempting, appetizing personality.",89,27.0,California,Jim Gordon,@gordone_cellars,Prospect 772 2014 Stepping Stones Grenache Blanc (Santa Barbara County),Grenache Blanc,Prospect 772
42254,Italy,"Coffee, toasted oak, coconut and raspberry confiture aromas lead the way. On the dense palate, dark chocolate, oak and licorice accent fleshy black cherry while fine-grained tannins provide support.",89,89.0,Piedmont,Kerin O’Keefe,@kerinokeefe,Revello Fratelli 2012 Rocche dell'Annunziata  (Barolo),Nebbiolo,Revello Fratelli
42256,Italy,"Aromas of apricot and white spring flower lift out of the glass. The apricot note follows through to the palate, along with yellow peach, honeydew melon and almond, all framed in bright acidity. This one closes on a flinty note.",89,15.0,Piedmont,Kerin O’Keefe,@kerinokeefe,Tenuta La Marchesa 2015 Gold Label  (Gavi),Cortese,Tenuta La Marchesa
42321,Portugal,"Lightly prickly on the tongue, this is a refreshing, almost dry wine. It is bright, lively and fruity with citrus and crisp apple flavors. The wine is light and bright with plenty of acidity at the end.",86,9.0,Vinho Verde,Roger Voss,@vossroger,Aveleda 2015 Aveleda White (Vinho Verde),Portuguese White,Aveleda
42326,France,"In the same family since 1835, this estate in Pouilly-Fuissé also makes wines in other surrounding appellations. This wine, with its soft and full white fruit, gentle structure and just enough acidity, is developing fast and will be ready from late 2016.",86,15.0,Burgundy,Roger Voss,@vossroger,Château Vitallis 2015 En Paradis  (Mâcon-Vinzelles),Chardonnay,Château Vitallis
42327,France,"This bright, lemony wine is lightly mineral as well as fruity. A crisp apple character gains even more tightness from a shot of lime juice. The wine is ready to drink, light and refreshing with a buttery aftertaste.",86,22.0,Burgundy,Roger Voss,@vossroger,Domaine Michel Goubard 2014 Mont-Avril  (Côte Chalonnaise),Chardonnay,Domaine Michel Goubard
42360,France,"The wine is rounded and soft with attractive berry fruits and wood aging. It's fruity with juicy acidity, black currant freshness and a dry core that will allow it to age 2017–2018.",84,13.0,Bordeaux,Roger Voss,@vossroger,Château La Rose du Pin 2011  Bordeaux,Bordeaux-style Red Blend,Château La Rose du Pin
42363,Portugal,"Rustic in character, this wine shows a bit too much alcohol, manifested by burnt and pepper notes. The acidity works hard to bring balance but ultimately is overpowered by the weight of the wine.",84,15.0,Alentejano,Roger Voss,@vossroger,Herdade do Rocim 2011 Touriga Nacional (Alentejano),Touriga Nacional,Herdade do Rocim
42365,US,"A quite remarkable mauve-pink in color, this offers faint cherry aromas. It's nearly sweet on the palate, with strawberries and hard red berry candy flavors.",84,20.0,California,Matt Kettmann,@mattkettmann,Joullian 2013 Estate Rosé of Zinfandel (Carmel Valley),Zinfandel,Joullian
42411,US,"The pretty fragrance comes with cotton candy highlights, along with a note of tangy red fruit. It's concentrated and deep, with appealing purity of flavor and the structure to age for over a decade.",92,60.0,Oregon,Paul Gregutt,@paulgwine ,Bergström 2010 Temperance Hill Pinot Noir (Eola-Amity Hills),Pinot Noir,Bergström
42466,US,"The 2010 BlackJack is loaded with tart cranberry and pomegranate fruit flavors. There is a streak of iron and darker notes that come through in earthy, slighted roasted tannins. The complexity is intriguing and adds depth to a rather light vintage.",90,55.0,Oregon,Paul Gregutt,@paulgwine ,David Hill 2010 Estate BlackJack Pinot Noir (Willamette Valley),Pinot Noir,David Hill
42468,France,"A structured wine, packed with red fruits and delightful acidity. There is a core of dark tannin and a solid structure as well as the bright freshness at the end. Because it has this structure, it's worth aging for 4–5 years.",90,42.0,Burgundy,Roger Voss,@vossroger,Domaine des Croix 2011  Beaune,Pinot Noir,Domaine des Croix
42492,US,"There is a roasted, slightly burnt scent to this wine, leading into smoky flavors of ground coffee and tar, wrapped around light red fruit.",85,25.0,America,Paul Gregutt,@paulgwine ,Clearwater Canyon 2009 Merlot (America),Merlot,Clearwater Canyon
42496,Argentina,"For a basic Chardonnay, this fits the bill. Citrus and peach aromas are standard and clean. The palate is tight and juicy, with no overt oak feel. Flavors of melon and pear have light spice and vanilla accents, while the finish is crisp.",85,11.0,Mendoza Province,Michael Schachner,@wineschach,Finca El Origen 2012 Reserva Chardonnay (Mendoza),Chardonnay,Finca El Origen
42500,France,"A lightly perfumed wine, this is soft with warm strawberry flavors. The acidity and texture play a supporting role in this ripe, light-bodied wine.",85,17.0,Burgundy,Roger Voss,@vossroger,Manuel Olivier 2010  Bourgogne,Pinot Noir,Manuel Olivier
42532,Austria,"Rich and rounded, this has notes of spice and ripe white and yellow fruit. Immediately attractive, it has complex acidity and a zesty texture. This should be ready to drink in 6 months. Screwcap.",90,22.0,Kamptal,Roger Voss,@vossroger,Loimer 2011 Grüner Veltliner (Kamptal),Grüner Veltliner,Loimer
42534,US,"Estate grown, this 100% Syrah has excellent concentration and round, mouthfilling fruit flavors. Cherries and plums are highlighted with baking spices and a finishing wash of rich mocha. Very tasty, forward, and drinking at its best right now.",90,24.0,Washington,Paul Gregutt,@paulgwine ,Plumb Cellars 2008 Syrah (Columbia Valley (WA)),Syrah,Plumb Cellars
42535,US,"Good concentration and clear varietal flavors mark this excellent Washington Mourvèdre. The mixed red fruits are well integrated, with a strong vein of mineral, and a finishing wash of vanilla, coffee and chocolate. Lots of barrel flavors to be sure, but the fruit can take it.",90,35.0,Washington,Paul Gregutt,@paulgwine ,Robert Ramsay 2009 McKinley Springs Vineyard Mourvèdre (Horse Heaven Hills),Mourvèdre,Robert Ramsay
42536,Austria,"Rich and smooth, this wine shows weight with superripe fruit that offers a mellow take on Grüner. With its spice, pineapple and dried apricot flavors, this is both fruity and structured.",90,32.0,Kremstal,Roger Voss,@vossroger,Stift Göttweig 2010 Gottschelle Erste Lage Reserve Grüner Veltliner (Kremstal),Grüner Veltliner,Stift Göttweig
42543,US,"A Bordeaux-style blend of Cabernet, Malbec and Merlot, this bright and grapy effort pleasingly integrates slightly rougher notes of earth, leaf and stem. It all works here, adding texture and detail to the tart berry fruits. Drink in the next 3–5 years.",90,27.0,Washington,Paul Gregutt,@paulgwine ,Adamant Cellars 2008 Nalin Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Adamant Cellars
42595,New Zealand,"This is full-bodied, offering subtle cashew and melon shadings alongside bold pineapple fruit. The oak stands a little apart on the palate, imparting a touch of dryness to the bright fruit. Drink now.",86,14.0,Marlborough,Joe Czerwinski,@JoeCz,Omaka Springs 2009 Falveys Vineyard Chardonnay (Marlborough),Chardonnay,Omaka Springs
42596,New Zealand,"Pretty ripe stuff, marked by hints of stewed berries and chocolate. It's medium to full in body, with soft tannins, yet the acids remain crisp, turning tart almost to the point of being citrusy on the finish.",86,18.0,Marlborough,Joe Czerwinski,@JoeCz,Stoneleigh 2009 Pinot Noir (Marlborough),Pinot Noir,Stoneleigh
42676,France,"Fresh with apple and citrus, this is a perfumed, immediately attractive wine. It has bright acidity, a lightly mineral texture and a tangy, zesty aftertaste. It's young and will age although it is delicious now.",87,40.0,Burgundy,Roger Voss,@vossroger,Au Pied du Mont Chauve 2013 Le Charmois Premier Cru  (Saint-Aubin),Chardonnay,Au Pied du Mont Chauve
42688,Portugal,"Fresh green plum, apricot and pears freshen this light, soft wine, clean, crisp and finishing with lime juice.",84,10.0,Estremadura,Roger Voss,@vossroger,Companhia das Quintas 2008 Forgotten Field White (Estremadura),Portuguese White,Companhia das Quintas
42691,Spain,"Leathery and rubbery at first, with aromatic accents of celery seed, barnyard and melted tar. The palate is lighter than the nose, with herbal plum flavors and a lean, strained body. Thin and fresh, but nothing special.",84,17.0,Northern Spain,Michael Schachner,@wineschach,De Lozar 2007  Ribera del Duero,Tempranillo Blend,De Lozar
42692,US,"Friendly, appealing flavors fo pear, lychee, apple and spice give this Riesling a fun character. Fresh with a touch of sweetness, the wine is balanced by its acid and offers a pretty, lingering finish.",84,12.0,Ohio,Susan Kostrzewa,@suskostrzewa,Debonné 2008 Reserve Riesling (Grand River Valley),Riesling,Debonné
42982,US,"Christmas-like aromas of juniper, pine and forest floor hit the nose hard on this bottling from the historic vineyard, all leveled by fresh squeezed pomegranate juice, wild sweet mint and pencil shavings. A woody character reminiscent of uncured sandalwood powers the palate, which also shows cranberry juice and pipe tobacco in the background.",93,60.0,California,Matt Kettmann,@mattkettmann,Flying Goat Cellars 2012 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Flying Goat Cellars
43131,Spain,"Citrusy on the nose, with just a hint of sulfuric burn and smoke. Flavors of sweet white grapefruit, tangerine and tarragon leaf give the palate that little bit extra, while the finish is smooth but short. Good but a touch flat on the back end and finish.",87,12.0,Catalonia,Michael Schachner,@wineschach,Freixenet NV Cordon Negro Extra Dry Sparkling (Cava),Sparkling Blend,Freixenet
43139,Spain,"Subtle aromas of white fruits, talc and powdered sugar are totally what they should be given that this is an extra dry Cava. The palate is a little sudsy and active, but the flavors of citrus and white pepper are balanced and not overly sweet or confected. Shows good clarity from start to finish.",87,10.0,Catalonia,Michael Schachner,@wineschach,Segura Viudas NV Extra Dry Sparkling (Cava),Sparkling Blend,Segura Viudas
43253,US,"This bottling's slightly dank nose recalls the front lawn being cut on a hot summer day, but a warmer, more inviting peach and nectarine fruit component awaits in the background. The palate is tangy with sharp lime peels and a bit tarry.",85,12.0,California,Matt Kettmann,@mattkettmann,Tortoise Creek 2015 Cuvee Jeane Sauvignon Blanc (Central Coast),Sauvignon Blanc,Tortoise Creek
43260,Chile,"Distinct aromas of wood grain and pine crowd out any fruit scents. This feels somewhat flat, with resiny oak flavors resting on top of melony notes. A second wave of wood spice controls the finish.",85,10.0,Central Valley,Michael Schachner,@wineschach,Autoritas 2015 Chardonnay (Central Valley),Chardonnay,Autoritas
43261,France,A light and fruity wine with a slight tincture of tannin and acidity. Red-cherry and banana flavors dominate this readily drinkable wine.,85,12.0,Beaujolais,Roger Voss,@vossroger,Barton & Guestier 2015 Les Violettes  (Beaujolais),Gamay,Barton & Guestier
43262,Spain,"This orange-colored rosado offers aromas of peach flesh, peach pit and sea shell. Dry, pithy, mildly bitter flavors of citrus and stone fruits end pithy. Contains 25% white Viura.",85,10.0,Northern Spain,Michael Schachner,@wineschach,Bodegas Franco-Españolas 2015 Rioja Bordón Rosé (Rioja),Rosé,Bodegas Franco-Españolas
43263,Spain,"Fully ripe black-fruit aromas are rubbery and edgy. This feels jammy, heavy and simple. Flavors of syrupy blackberry and crème de cassis finish sweet and grapy with a sense of syrupy weight.",85,12.0,Northern Spain,Michael Schachner,@wineschach,Bodegas San Valero 2015 Particular Garnacha (Cariñena),Garnacha,Bodegas San Valero
43269,US,"This is an easy-drinking, crowd-pleaser of a wine. Light to medium bodied, it has fresh strawberry and cherry flavors and a soft, smooth texture.",85,9.0,California,Jim Gordon,@gordone_cellars,Coast 2014 Merlot (California),Merlot,Coast
43343,US,"Stewed black plum and tangy black cherry fruit meet baking spice and cola on the nose of this bottling from Lompoc-based Brian Loring. The palate is tangy with black cherry and cranberry, with a touch of herbs and forest floor.",91,54.0,California,Matt Kettmann,@mattkettmann,Loring Wine Company 2015 Kessler-Haak Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Loring Wine Company
43344,US,"This contends for the best $10 Riesling in the country. It's off dry, with 30g/L of residual sugar, but not too sweet for some Asian noodle entrées. The mouthfeel is thick and borders on syrupy, with penetrating flavors of mango, papaya and peaches. It could also be served after dinner with fruit and soft cheeses.",91,10.0,Oregon,Paul Gregutt,@paulgwine ,Lujon 2015 Riesling (Willamette Valley),Riesling,Lujon
43345,US,"This is an expertly balanced wine from Temecula, showcasing region's potential for Grenache. Rosewater, cherry juice and cherry blossom aromas are lifted by herbal touches of marjoram and crushed peppercorn. Fennel, thyme and oregano flavors kick off the palate, where strong acidity carries raspberry and red berry flavors into a complex and elegant finish.",91,48.0,California,Matt Kettmann,@mattkettmann,Palumbo Family Vineyards 2013 Grenache (Temecula Valley),Grenache,Palumbo Family Vineyards
43346,US,"While light-bodied, gentle and intricate, this wine offers plenty of flavor nuances. Cranberry and herb tea aromas mark the nose, while the mouthfeel is at once soothing and tangy, with mulled cherry and clove aromas that slowly emerge and persist on the finish. It's a treat to sip and savor.",91,39.0,California,Jim Gordon,@gordone_cellars,Phillips Hill 2015 Boontling Pinot Noir (Anderson Valley),Pinot Noir,Phillips Hill
43347,US,"Inspired by co-winemaker Eli Parker's trips to Australia, this is simply a fun and tasty sparkling red, with rose, clove, black plum, and graphite notes on the nose. Ripe berry flavors round out the palate, but tangy plum skins and a slate-driven mineral tension keep it serious.",91,37.0,California,Matt Kettmann,@mattkettmann,Sibling Bubblery 2014 Sparkling Grenache (Santa Barbara County),Grenache,Sibling Bubblery
43348,US,"This wine has rich blueberry aromas, a softly tannic texture and and black currant flavors that open more with each sip. Concentrated and full in body, it's a luxurious-feeling and abundantly flavored wine that lingers long on the palate.",91,29.0,California,Jim Gordon,@gordone_cellars,Straight Line 2013 Tempranillo (California),Tempranillo,Straight Line
43349,US,"Plush blackberry, fennel, mocha, char and peppercorn aromas show on the nose of this bottling from longtime friends Paul Quinn and James Schreiner. Dried plum skin, cherry and elderberry flavors show on the palate, which is layered with tannins and turns savory with charred beef, charcoal and tobacco flavors.",91,64.0,California,Matt Kettmann,@mattkettmann,T.W. Fermentation 2013 Straight Cab Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,T.W. Fermentation
43350,Italy,"Red berry, toast and black spice aromas lead the nose, accented by whiffs of espresso. The palate offers licorice, clove, dried cherry and vanilla notes, while a backbone of fine-grained tannins provides support.",91,69.0,Tuscany,Kerin O’Keefe,@kerinokeefe,Tenute Silvio Nardi 2012  Brunello di Montalcino,Sangiovese,Tenute Silvio Nardi
43363,France,"This is the second wine of Larrivet Haut-Brion. It is rich with tannins and juicy with black-currant acidity. As befits a second wine, it is developing well and easily. Drink from 2021. While it shares the same name as Château Haut-Brion, there is no ownership or location connection between the two properties.",91,30.0,Bordeaux,Roger Voss,@vossroger,Château Larrivet Haut-Brion 2014 Les Hauts de Larrivet Haut-Brion  (Pessac-Léognan),Bordeaux-style Red Blend,Château Larrivet Haut-Brion
43365,France,"Owned by the Bernard family who also own one of the major Bordeaux negociants, Millésima, the wine is structured, deliciously fruity and with a series of smoky tannins that will allow it to age. It comes from a vineyard close to Pauillac and that shows in the dense Cabernet Sauvignon that gives the wine its weight. Drink from 2021.",91,17.0,Bordeaux,Roger Voss,@vossroger,Château Peyrabon 2014  Haut-Médoc,Bordeaux-style Red Blend,Château Peyrabon
43366,US,"An intriguing oak spiciness on both the nose and the palate makes this medium-bodied wine interesting without overpowering the focused and vivid raspberry and red cherry flavors. The wine's texture is lean, braced by fine-grained tannins that give support and balance. Best after 2018.",91,40.0,California,Jim Gordon,@gordone_cellars,Clos du Bois 2013 Coro Mendocino Red (Mendocino),Red Blend,Clos du Bois
43367,Australia,"The d'Arenberg style favors structure over plushness, even in Grenache. This is crisp and firm, its cranberryish fruit tinged with hints of raspberry, orange zest, cinnamon and clove. Give it a few years to soften. Drink 2020–2030.",91,29.0,South Australia,Joe Czerwinski,@JoeCz,D'Arenberg 2013 The Derelict Vineyard Grenache (McLaren Vale),Grenache,D'Arenberg
43368,US,"This wine opens with the fresh liveliness of stemmy earth and black tea notes, growing funkier and more herbal on the midpalate. Brightly layered and deeply flavored, it's a full-bodied rendition that remains true to its variety.",91,35.0,California,Virginie Boone,@vboone,Davis Bynum 2014 Jane's Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Davis Bynum
43369,US,"This is a vibrant take on the grape, with fresh-pressed boysenberry and wisteria aromas merging with rosemary, fennel and sarsaparilla on the nose. Food friendly, it shows more boysenberry, thyme, white pepper, and floral freshness on the palate.",91,30.0,California,Matt Kettmann,@mattkettmann,DeTierra Vineyards 2014 Mesa Del Sol Syrah (Arroyo Seco),Syrah,DeTierra Vineyards
43370,France,"Spicy musky notes hover above scents of canned peaches. On the palate, these rich peach notes are framed by pleasantly bitter notes of pith and peach skin. The characteristic 2014 freshness makes this bright and sprightly and creates an off-dry finish to the concentrated palate.",91,35.0,Alsace,Anne Krebiehl MW,@AnneInVino,Domaine Charles Baur 2014 Pfersigberg Grand Cru Gewurztraminer (Alsace),Gewürztraminer,Domaine Charles Baur
43371,France,Apple notes have a lifted ethereal quality. The palate comes in with beautifully poised lemon freshness that counters the just off-dry richness of the fruit flavors. This is balm-like in its apple-focused fruitiness and goes down very easily. Flavors linger.,91,28.0,Alsace,Anne Krebiehl MW,@AnneInVino,Dopff & Irion 2011 Schoenenbourg Grand Cru Riesling (Alsace),Riesling,Dopff & Irion
43372,US,"Nutty and lush with layers of peach, pear and lime fruit, this is a medium-bodied and well-balanced white. It's refreshing while offering both length and breadth on the palate.",91,31.0,California,Virginie Boone,@vboone,Eric Kent 2015 Cuvée Renee Sauvignon Blanc (Sonoma County),Sauvignon Blanc,Eric Kent
43428,Italy,"Made with 85% Carignano and 15% Syrah, this boasts aromas of mature black cherry, raspberry and Mediterranean herb. The soft palate doles out ripe black currant, licorice and black pepper alongside velvety tannins.",89,27.0,Sicily & Sardinia,Kerin O’Keefe,@kerinokeefe,Cantina Santadi 2012 Shardana  (Valli di Porto Pino),Red Blend,Cantina Santadi
43429,Italy,"This offers aromas of scorched earth, underbrush and a whiff of oak. The firm palate offers sour cherry, fleshy strawberry, toast, coconut and espresso alongside assertive, close-grained tannins that leave a mouth-drying finish.",89,52.0,Sicily & Sardinia,Kerin O’Keefe,@kerinokeefe,Cottanera 2012  Etna,Nerello Mascalese,Cottanera
43430,France,"Some flinty notes precede earthier, ripe apple notes that also spread across the palate. There is a textured mouthfeel, while a clean seam of lemon crispness counters the earthy fruit. Texture and freshness linger pleasantly.",89,26.0,Alsace,Anne Krebiehl MW,@AnneInVino,Domaine Barmès-Buecher 2014 Rosenberg Pinot Blanc (Alsace),Pinot Blanc,Domaine Barmès-Buecher
43431,France,"With attractive wood flavors, this is a wine with spice, toast and citrus flavors. Orange and yellow fruits come through the lime acidity and zesty texture. Drink from 2017.",89,35.0,Burgundy,Roger Voss,@vossroger,Domaine Faiveley 2014 Clos Rochette  (Mercurey),Chardonnay,Domaine Faiveley
43432,France,"This wine is smoky, ripe and packed with tannins. The fruit gives the wine weight although it is not yet fully developed. There is a toasty background to this rich wine with its juicy red-berry fruits and acidity. Drink from 2019.",89,55.0,Burgundy,Roger Voss,@vossroger,Domaine Huguenot 2014 Champ Perdrix  (Marsannay),Pinot Noir,Domaine Huguenot
43458,US,"Reustle makes four different versions of this wine, each distinctive and worthy of attention. This is vinified in all stainless, and pushes sappy tart flavors of Meyer lemon and grapefruit front and center. The fruit is ripe enough that it leaves an impression of sweetness—a perfect counterbalance to the wine's natural acidity.",90,24.0,Oregon,Paul Gregutt,@paulgwine ,Reustle 2015 Grüner Veltliner (Umpqua Valley),Grüner Veltliner,Reustle
43459,France,"Friendly inviting notes of ripe juicy pear appear immediately on the nose and are also amply present on the palate. The body is concentrated and has warmth and texture that are amply countered by zesty citrus freshness. The finish is clean, medium sweet and lasting.",90,15.0,Alsace,Anne Krebiehl MW,@AnneInVino,Ruhlmann 2015 Tête de Cuvée Pinot Gris (Alsace),Pinot Gris,Ruhlmann
43460,US,"This Reserve Series bubbly accents its crisp green apple fruit with toasty aromas. Done via Méthode Champenoise, it spent five years en tirage. There's a fine bead and lingering persistent flavors with hints of nutmeg and lemon curd. All in all, this is a very fine effort.",90,50.0,Oregon,Paul Gregutt,@paulgwine ,Seufert 2011 Blanc de Noir Sparkling (Willamette Valley),Sparkling Blend,Seufert
43461,US,"A blend of 68% Cabernet Sauvignon and 32% Merlot, this offers aromas of high-toned red fruit, French-oak spice and herbs that lead to luxurious but still in-check dark-fruit flavors. Tart black-tea accents persist on the finish.",90,20.0,Washington,Sean P. Sullivan,@wawinereport,Soos Creek 2014 Soleil Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Soos Creek
43462,US,"Stoller offers fine value across its entire portfolio. This is solidly crafted and estate-grown, from the heart of the Dundee Hills AVA. There's a gentle touch of new oak, among a flavorful mix of strawberries, cherries and oranges. The moderate alcohol signals a balanced wine with ample acidity. Drink now through 2022.",90,30.0,Oregon,Paul Gregutt,@paulgwine ,Stoller 2015 Pinot Noir (Dundee Hills),Pinot Noir,Stoller
